Shape,Area (m2),Depth (m),Width (m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
W760x314,0.0402,0.786,0.384,0.00429,0.000316,0.0123,0.00254,520.69
W760x350,0.0446,0.795,0.382,0.00487,0.000355,0.0139,0.00287,577.68
W760x389,0.0496,0.803,0.385,0.00545,0.000399,0.0155,0.00321,642.44
W760x434,0.0553,0.813,0.387,0.00619,0.000455,0.0174,0.00365,716.27
W760x484,0.0618,0.823,0.39,0.00699,0.000517,0.0195,0.00412,800.46
W760x531,0.0677,0.833,0.393,0.00777,0.000578,0.0216,0.00458,876.88
W760x582,0.0743,0.843,0.396,0.00862,0.000644,0.0238,0.00508,962.37
W840x176,0.0224,0.835,0.292,0.00246,0.0000782,0.00681,0.000844,290.14
W840x193,0.0247,0.84,0.292,0.00278,0.0000903,0.00762,0.000971,319.93
W840x210,0.0268,0.846,0.293,0.00311,0.000103,0.00843,0.0011,347.13
W840x226,0.0289,0.851,0.294,0.0034,0.000114,0.00916,0.00121,374.33
W840x251,0.0319,0.859,0.292,0.00386,0.000129,0.0103,0.00138,413.18
W840x299,0.0382,0.855,0.4,0.0048,0.000312,0.0127,0.00241,494.79
W840x329,0.042,0.862,0.401,0.00536,0.000349,0.014,0.00269,544
W840x359,0.0458,0.868,0.403,0.00592,0.000389,0.0154,0.00298,593.22
W840x392,0.05,0.877,0.401,0.0066,0.00043,0.017,0.00331,647.62
W840x433,0.0553,0.885,0.404,0.00736,0.000484,0.0189,0.00371,716.27
W840x473,0.0604,0.893,0.406,0.00813,0.000537,0.0208,0.0041,782.33
W840x527,0.0673,0.903,0.409,0.00915,0.000607,0.0233,0.00462,871.7
W840x576,0.0734,0.913,0.411,0.0101,0.000672,0.0256,0.0051,950.71
W920x201,0.0256,0.903,0.304,0.00325,0.0000944,0.00836,0.000982,331.58
W920x223,0.0286,0.911,0.304,0.00377,0.000112,0.00954,0.00116,370.44
W920x238,0.0304,0.915,0.305,0.00406,0.000123,0.0102,0.00127,393.76
W920x253,0.0323,0.919,0.306,0.00438,0.000134,0.011,0.00137,418.37
W920x271,0.0346,0.923,0.307,0.00472,0.000145,0.0118,0.00149,448.16
W920x289,0.0368,0.927,0.308,0.00505,0.000156,0.0126,0.0016,476.65
W920x313,0.0398,0.932,0.309,0.00548,0.00017,0.0136,0.00175,515.51
W920x344,0.0439,0.927,0.418,0.00648,0.00039,0.0158,0.00288,568.61
W920x345,0.044,0.943,0.308,0.00626,0.000195,0.0153,0.002,569.91
W920x368,0.0467,0.931,0.419,0.00696,0.000421,0.0169,0.00311,604.88
W920x381,0.0486,0.951,0.31,0.00697,0.000219,0.017,0.00224,629.49
W920x390,0.0496,0.936,0.42,0.00745,0.000453,0.018,0.00333,642.44
W920x420,0.0536,0.943,0.422,0.00817,0.000501,0.0196,0.00367,694.25
W920x449,0.0573,0.948,0.423,0.00878,0.00054,0.021,0.00395,742.18
W920x491,0.0625,0.957,0.422,0.0097,0.00059,0.0231,0.00434,809.53
W920x537,0.0684,0.965,0.425,0.0107,0.000656,0.0253,0.0048,885.95
W920x588,0.075,0.976,0.427,0.0119,0.000728,0.028,0.00531,971.44
W920x656,0.0837,0.987,0.431,0.0134,0.000831,0.0314,0.00603,1084.12
W920x725,0.0925,0.999,0.434,0.015,0.000932,0.0348,0.00674,1198.11
W920x787,0.1,1.011,0.437,0.0165,0.00103,0.0381,0.00743,1295.25
W920x970,0.124,1.043,0.446,0.021,0.00134,0.0477,0.0095,1606.11
W920x1191,0.152,1.081,0.457,0.027,0.00175,0.0599,0.0122,1968.78
W1000x222,0.0283,0.97,0.3,0.00408,0.0000954,0.0098,0.00102,366.56
W1000x249,0.0317,0.98,0.3,0.00481,0.000118,0.0113,0.00124,410.59
W1000x272,0.0347,0.99,0.3,0.00554,0.00014,0.0128,0.00147,449.45
W1000x296,0.0378,0.982,0.4,0.0062,0.00029,0.0143,0.00224,489.6
W1000x314,0.04,1,0.3,0.00644,0.000162,0.0149,0.00171,518.1
W1000x321,0.0409,0.99,0.4,0.00696,0.000331,0.0158,0.00255,529.76
W1000x350,0.0445,1.008,0.302,0.00723,0.000185,0.0166,0.00194,576.39
W1000x371,0.0473,1,0.4,0.00814,0.000386,0.0184,0.00298,612.65
W1000x393,0.05,1.016,0.303,0.00808,0.000205,0.0185,0.00217,647.62
W1000x412,0.0525,1.008,0.402,0.0091,0.000434,0.0205,0.00335,680.01
W1000x415,0.0528,1.02,0.304,0.00852,0.000217,0.0195,0.0023,683.89
W1000x438,0.0556,1.026,0.305,0.00909,0.000234,0.0207,0.00246,720.16
W1000x443,0.0564,1.012,0.402,0.00967,0.000455,0.0218,0.00353,730.52
W1000x483,0.0615,1.02,0.404,0.0107,0.000507,0.0239,0.00392,796.58
W1000x486,0.0619,1.036,0.308,0.0102,0.000266,0.0232,0.00279,801.76
W1000x494,0.0629,1.036,0.309,0.0103,0.000268,0.0234,0.00282,814.71
W1000x539,0.0687,1.03,0.407,0.012,0.000576,0.0268,0.00444,889.84
W1000x554,0.0707,1.032,0.408,0.0123,0.000592,0.0275,0.00455,915.74
W1000x584,0.0745,1.056,0.314,0.0125,0.000334,0.0281,0.00348,964.96
W1000x591,0.0753,1.04,0.409,0.0133,0.00064,0.0295,0.00492,975.32
W1000x642,0.0817,1.048,0.412,0.0145,0.000702,0.0321,0.00537,1058.22
W1000x748,0.0955,1.068,0.417,0.0173,0.000852,0.0379,0.00647,1236.96
W1000x883,0.113,1.092,0.424,0.021,0.00105,0.0453,0.00787,1463.63
W1100x343,0.0436,1.09,0.4,0.00867,0.000331,0.0181,0.00257,564.73
