Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
2L6X4X5/8X3/4SLBB,2L,0.00117,0.1016,,40.0,6.239999999999999e-08,4.5759999999999997e-07,8.2492e-06,2.8372000000000002e-05,58.0
2L6X4X9/16SLBB,2L,0.00106,0.1016,,36.2,5.699199999999999e-08,3.35712e-07,7.5112e-06,2.1976e-05,52.49
2L6X4X9/16X3/8SLBB,2L,0.00106,0.1016,,36.2,5.699199999999999e-08,3.7065599999999995e-07,7.5112e-06,2.3616e-05,52.49
2L6X4X9/16X3/4SLBB,2L,0.00106,0.1016,,36.2,5.699199999999999e-08,4.0767999999999996e-07,7.5112e-06,2.5256e-05,52.49
2L6X4X1/2SLBB,2L,0.00095,0.1016,,32.4,5.1584e-08,2.98688e-07,6.7568e-06,1.968e-05,46.98
2L6X4X1/2X3/8SLBB,2L,0.00095,0.1016,,32.4,5.1584e-08,3.2988799999999994e-07,6.7568e-06,2.0992e-05,46.98
2L6X4X1/2X3/4SLBB,2L,0.00095,0.1016,,32.4,5.1584e-08,3.62752e-07,6.7568e-06,2.2468e-05,46.98
2L6X4X7/16SLBB,2L,0.0008359999999999999,0.1016,,28.6,4.6175999999999996e-08,2.61248e-07,5.986e-06,1.722e-05,41.47
2L6X4X7/16X3/8SLBB,2L,0.0008359999999999999,0.1016,,28.6,4.6175999999999996e-08,2.8828799999999994e-07,5.986e-06,1.8367999999999998e-05,41.47
2L6X4X7/16X3/4SLBB,2L,0.0008359999999999999,0.1016,,28.6,4.6175999999999996e-08,3.16992e-07,5.986e-06,1.968e-05,41.47
2L6X4X3/8SLBB,2L,0.000722,0.1016,,24.6,4.04352e-08,2.2380799999999996e-07,5.1988e-06,1.4710800000000002e-05,35.67
2L6X4X3/8X3/8SLBB,2L,0.000722,0.1016,,24.6,4.04352e-08,2.45856e-07,5.1988e-06,1.5662e-05,35.67
2L6X4X3/8X3/4SLBB,2L,0.000722,0.1016,,24.6,4.04352e-08,2.704e-07,5.1988e-06,1.6728e-05,35.67
2L6X4X5/16SLBB,2L,0.000606,0.1016,,20.6,3.43616e-08,1.8636799999999997e-07,4.3787999999999995e-06,1.22508e-05,29.87
2L6X4X5/16X3/8SLBB,2L,0.000606,0.1016,,20.6,3.43616e-08,2.04672e-07,4.3787999999999995e-06,1.3038e-05,29.87
2L6X4X5/16X3/4SLBB,2L,0.000606,0.1016,,20.6,3.43616e-08,2.25472e-07,4.3787999999999995e-06,1.394e-05,29.87
